Wall time,Step,Value
1771860121.393557,1967,32.0
1771860308.2827492,1969,32.0
1771860495.4885345,1971,28.0
1771861335.9876914,1980,32.0
1771861430.7356417,1981,24.0
1771861524.662216,1982,44.0
1771861617.404797,1983,24.0
1771862745.1356978,1995,28.0
1771862944.1222467,1997,24.0
1771863133.8965254,1999,24.0
1771863320.7485604,2001,12.0
1771863695.3607783,2005,8.0
1771863790.3339398,2006,32.0
1771863884.2449229,2007,28.0
1771864071.7941482,2009,8.0
1771864164.6174552,2010,24.0
1771864442.792346,2013,24.0
1771864629.0869348,2015,16.0
1771864818.423143,2017,12.0
1771865360.7214818,2022,24.0
1771865660.5071793,2025,20.0
1771865849.6757207,2027,32.0
1771865945.332886,2028,28.0
1771866132.0516703,2030,20.0
1771866413.6606615,2033,12.0
1771866695.9700553,2036,16.0
1771866884.7939475,2038,20.0
1771867169.6642435,2041,40.0
1771867451.3855126,2044,36.0
1771867544.6677797,2045,24.0
1771867824.3593647,2048,36.0
1771868010.0261052,2050,48.0
1771868103.0672514,2051,32.0
1771868854.5202892,2059,16.0
1771868948.3112717,2060,28.0
1771869133.8652983,2062,52.0
1771869607.9045362,2067,12.0
1771870079.3556168,2072,16.0
1771870173.0535953,2073,28.0
1771870267.1758707,2074,8.0
1771870454.6521506,2076,20.0
1771870548.9967911,2077,28.0
1771870739.6970096,2079,16.0
1771870928.0177007,2081,16.0
1771871207.543075,2084,20.0
1771871300.4959562,2085,20.0
1771871677.0337005,2089,32.0
1771872143.5422494,2094,24.0
1771872328.7760434,2096,28.0
1771872886.5282443,2102,24.0
1771872978.7256134,2103,16.0
1771873075.1271236,2104,16.0
1771873169.876217,2105,28.0
1771873265.5935109,2106,12.0
1771873543.971667,2109,24.0
1771873732.5320613,2111,20.0
1771874012.898123,2114,20.0
1771874105.7992067,2115,28.0
1771874390.9007041,2118,36.0
1771874578.0603716,2120,16.0
1771874765.938287,2122,16.0
1771874860.2286897,2123,24.0
1771874954.315516,2124,24.0
1771875330.4160311,2128,36.0
1771875703.805988,2132,36.0
1771875797.3142064,2133,20.0
1771875890.5269928,2134,20.0
1771876277.9381852,2138,20.0
1771876372.1068208,2139,20.0
1771876559.623531,2141,20.0
1771876653.138108,2142,36.0
1771876842.142924,2144,32.0
1771876934.7283864,2145,24.0
1771877029.273515,2146,28.0
1771877217.780528,2148,16.0
1771877314.7122822,2149,24.0
1771877410.3569515,2150,32.0
1771877505.3244433,2151,12.0
1771877788.5698385,2154,44.0
1771877975.1577692,2156,20.0
1771878068.4672408,2157,20.0
1771878640.7159781,2163,32.0
1771878734.923311,2164,20.0
1771878829.1569211,2165,28.0
1771879204.3791273,2169,16.0
1771879392.469874,2171,24.0
1771879583.945484,2173,24.0
1771879957.3525445,2177,28.0
1771880627.2384148,2184,24.0
1771880916.3179219,2187,24.0
1771881103.6861496,2189,12.0
1771881290.8505502,2191,32.0
1771881385.5899823,2192,32.0
1771881768.9202762,2196,16.0
1771881956.9337983,2198,28.0
1771882052.1346416,2199,20.0
1771882146.8692663,2200,36.0
1771882429.1680284,2203,24.0
1771882521.3467171,2204,28.0
1771882801.0601232,2207,16.0
1771882895.7955523,2208,28.0
1771883176.3392208,2211,28.0
1771883457.362941,2214,40.0
1771883830.7826638,2218,24.0
1771884394.3303227,2224,44.0
1771884500.6880217,2225,16.0
1771884794.3729107,2228,24.0
1771884887.625871,2229,12.0
1771885076.543273,2231,28.0
1771885262.784605,2233,40.0
1771885358.2377264,2234,28.0
1771885545.181777,2236,28.0
1771885638.832202,2237,32.0
1771885825.4984806,2239,36.0
1771885919.5035377,2240,24.0
1771886014.696807,2241,24.0
1771886106.463759,2242,24.0
1771886293.5972202,2244,24.0
1771886482.649621,2246,36.0
1771886577.6612296,2247,16.0
1771886952.1030078,2251,20.0
1771887045.3944197,2252,32.0
1771887230.4346461,2254,32.0
1771887511.1389863,2257,20.0
1771887700.4517882,2259,20.0
1771887982.3375297,2262,28.0
1771888546.2443058,2268,40.0
1771889116.4266777,2274,28.0
1771889500.144808,2278,40.0
1771889782.632131,2281,28.0
1771890257.0939896,2286,16.0
1771890445.5070755,2288,20.0
1771890730.2481177,2291,28.0
1771891298.1025221,2297,32.0
1771891392.7231467,2298,20.0
1771891583.5008326,2300,32.0
1771891865.6666398,2303,40.0
1771892147.5393279,2306,28.0
1771892242.9515824,2307,12.0
1771892338.2821722,2308,28.0
1771893189.5766394,2317,40.0
1771893284.5444944,2318,16.0
1771893381.2627459,2319,28.0
1771893476.857242,2320,20.0
1771893665.5007057,2322,28.0
1771893854.8557756,2324,32.0
1771894139.0296564,2327,8.0
1771894233.2527282,2328,24.0
1771894613.5370142,2332,32.0
1771894805.7510424,2334,24.0
1771894902.438284,2335,24.0
1771894995.8955095,2336,24.0
1771895090.1864402,2337,40.0
1771895864.7117567,2345,28.0
1771896716.0968757,2354,16.0
1771896905.359659,2356,20.0
1771897188.276434,2359,28.0
1771897658.7241082,2364,24.0
1771897944.820964,2367,24.0
1771898038.0289822,2368,16.0
1771898322.177493,2371,40.0
1771898699.9650784,2375,24.0
1771898984.7603152,2378,32.0
1771899175.4261382,2380,16.0
1771899365.595736,2382,24.0
1771899649.0389843,2385,24.0
1771899932.8567255,2388,28.0
1771900028.4972296,2389,12.0
1771900123.0652697,2390,24.0
1771900312.0847619,2392,32.0
1771901068.9993715,2400,24.0
1771901257.4970374,2402,24.0
1771901444.6750667,2404,28.0
1771901634.1607025,2406,8.0
1771902105.5183551,2411,32.0
1771902577.7824788,2416,20.0
1771902980.1405997,2420,24.0
1771903354.6216555,2424,20.0
1771903449.6517537,2425,24.0
1771903541.7771273,2426,32.0
1771903918.5522332,2430,28.0
1771904198.6258268,2433,32.0
1771904480.163416,2436,16.0
1771904951.2030985,2441,44.0
1771905230.6920326,2444,24.0
1771905419.437075,2446,24.0
1771905796.4457538,2450,20.0
1771905889.801734,2451,24.0
1771905982.658646,2452,8.0
1771906075.5108414,2453,24.0
1771906265.2618847,2455,36.0
1771906451.4161406,2457,24.0
1771906733.0930774,2460,12.0
